1969,Figures in a landscape,soldiers
1969,From Scenes like this,
1969,Something to answer for,
1969,The Impossible Object,
1969,The Nice and the good,couple
1969,The Public Image,
1970,Bruno's dream,
1970,Eva Trout,husband
1970,John Brown's Body,dealer
1970,Mrs Eckdorf in O'Neill's Hotel,
1970,The Elected Member,"barrister, father"
1971,Briefing for a Descent into Hell,professor
1971,Goshawk Squadron,CO
1971,In a free State,civil servant
1971,Mrs. Palfrey at the Claremont,writer
1971,The Big Chapel,"scientist, landlord"
1971,St Urbain's Horsemen,"director, adventurer"
1972,G.,
1972,Pasmore,job
1972,The Bird of Night,poet
1972,The Chant Of Jimmie Blacksmith,
1973,The Dressmaker,
1973,The Green Equinox,
1973,The Siege of Krishnapur,
1973,The Black Prince,"novelist, author"
1974,The Bottle Factory Outing,
1974,The Conservationist,
1974,Ending Up,
1974, Gossip from the Forest,
1974,Holiday,
1974,In Their Wisdom,
1975,Heat and Dust,
1975, Gossip from the Forest,
1976, Saville,
1976,Rising,
1976,King Fisher Lives,
1976,The Doctor's Wife,doctor
1976,The Children of Dynmouth,
1976, An Instant in the Wind,
1977,Shadows on our Skin,
1977, Staying On,Colonel
1977,The Road to Lichfield,
1977,Quartet in Autumn,
1978,"The Sea, the Sea",
1978,The Bookshop,
1978,Rumours Of Rain,
1978,Jake's Thing,
1979,Praxis,
1979,Offshore,"prostitute, navy"
1979,Joseph,Viscount
1979,Confederates,
1980,No Country for Young Men,
1980,Pascali's Island,
1980,Beggar Maid,
1980,Rites Of Passage,Clergyman
1980,Earthly Powers,"novelist, shrewd"
1980,A Month in the Country,veteran
1980,Clear Light of Day,brother
1981,The White Hotel,
1981,The Sirian Experiments,
1981,The Comfort of Strangers,
1981,Rhine Journey,reverend
1981,Midnight's Children,
1981,Loitering with Intent,director
1981,Good Behaviour,
1982,The 27th Kingdom,nephew
1982, Sour Sweet,
1982,An Ice-Cream War,farmer
1982," Constance, or Solitary Practices",
1982,Schindler's List,
1982,Silence Among the Weapons,agent
1983,Flying to Nowhere,church agent
1983,Rates of Exchange,professor
1983,Shame,
1983,The Illusionist,
1983, Waterland,
1985,The Good Terrorist,
1985,The Good Apprentice,artist
1985,The Bone People,
1985,Last Letters from Hav,
1985,Illywhacker,
1985,An Artist of the Floating World,artist
1986, An Insular Possession,
1986,Gabriel's Lament,
1986,The Handmaid's Tale,commander
1986,The Old Devils,
1986,What's Bred in the Bone,
1987,The Colour of Blood,cardinal
1987,The Book and the Brotherhood,
1987,Moon Tiger,
1987,Circles of Deceit,painter
1987,Chatterton,"detective, poet"
1987,Anthills of the Savannah,military
1988,The Lost Father,
1988,Nice Work,MD
1988, Oscar and Lucinda,Clergyman
1988,The Satanic Verses,
1988,The Beginning of Spring,
1988,Utz,
1989, A Disaffection,teacher
1989,Cat's Eye,
1989,Jigsaw: An Unsentimental Education,
1989, Restoration ,physician
1989,The Book of Evidence,
1989,The Remains of the Day,butler
1990,Solomon Gursky Was Here,
1990, Possession,
1990,Lies of Silence,
1990,An Awfully Big Adventure,
1990, Amongst Women,leader
1990,The Gate of Angels,
1991,Time's Arrow,doctor
1991,Such a Long Journey,
1991,The Famished Road ,
1991,The Redundancy of Courage,
1991,Reading Turgenev,
1991,The Van,business
1992,Black Dogs,
1992, Daughters of the House,
1992,Sacred Hunger,merchant
1992, Serenity House,
1992,The Butcher Boy,
1992,The English Patient,thief
